serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
915,F,9,13,No,4,cereal,6,5,30,1,17:30:00,6:30:00,100,0,1,10,0,3.67,A-,0,7,0,0,0,100,0,70,"math,english",spanish,6,5,6,6,7,6,5,5,1,2,sailing 
916,M,9,14,vegetarian,2,cereal,7,2,0,2,16:30:00,6:00:00,100,0,2,0,0,3.33,B+,0,2,100,0,0,0,0,50,N/A,"French, Wellness",1,7,2,5,1,3,4,2,0,0,0
917,M,9,14,No,5,"bagel, bacon, toast, fruit",8,2,15,0.666666666666667,17:50:00,6:45:00,90,1.5,2,0,0,3.9,N/A,0,4,50,0,0,50,0,N/A,English,Math,7,7,7,6,1,7,4,7,3,0,jellef bbal team
918,F,9,15,Vegetarian,5,"eggs, rice, organe, juice, fruit",7,2,75,0.5,18:00:00,6:00:00,95,2,2,1,0,3.33,B+,0,6,0,100,0,0,0,75,Math,History,3,7,6,7,2,6,1,2,3,0,0
919,F,9,14,No,3,"taost, cereal",7,2,10,1.5,17:45:00,6:15:00,90,1,0,2,0,4,A,0,7,0,0,0,100,0,80,English,Math,6,7,6,6,2,3,4,1,1,1,0
920,F,9,14,No,5,"pop tarts, bagel",7,2,75,1.5,18:00:00,6:15:00,95,2,2,1,0,4,A,0,6,50,0,50,0,0,75,English,Science,3,5,7,6.5,4,7,4,4,2,2,0
921,F,9,14,Vegetarian,5,pop-tart,6,1,10,2,16:30:00,6:00:00,100,0,5,0,0,2.67,B-,0,6,0,0,0,100,0,70,N/A,Math,1,5,6,7,7,6,7,7,0,3,Dance
922,F,9,15,vegan,5,"sub,cereal, french toast, pancake",7,2,30,1,17:30:00,6:20:00,100,1,0,1,0,3.33,B+,0,9,40,40,20,0,0,N/A,N/A,N/A,4,6,6,7,4,6,2,6,2,1,0
923,F,9,14,No,5,"cheerios, milk, apples",7.5,1.5,70,1,18:30:00,6:25:00,50,2,0,1,0,4,A,0,7,0,0,0,100,0,65,English,Math,5,7,6,7,4,5,3,3,2,0,0
924,F,9,14,no,5,"waffles, yogurt",7.75,2,20,0.666666666666667,N/A,6:10:00,90,0,5,2,0,3.495,B+/A-,0,6,0,50,0,50,0,85,science,"History, Spanish",2,7,6,6,4,7,6,6,2,2,"""yes"""
925,F,9,14,no,2,"bagel,organe",6,3,25,0.666666666666667,16:00:00,6:45:00,100,3,3,0,0,N/A,N/A,0,3,0,,,,,N/A,"math,spanish",science,6,5,5,5,1,7,5,2,0,0,0
926,F,9,14,no,5,"apple, a bar, eggs, toast",8,3,50,0.166666666666667,15:40:00,6:15:00,90,3,3,0,0,N/A,N/A,0,5,0,0,0,100,0,N/A,History,Science,5,6,5,5,4,5,5,4,0,0,0
927,F,9,15,no,2,"eggs, toast, pancakes",4.5,2.5,60,0.666666666666667,16:00:00,5:00:00,90,3,"""too many""",6,60,N/A,N/A,0,10,80,0,10,10,0,10,math,spanish,4,1,3,2,1,3,2,1,0,0,0
928,M,9,14,NO,5,WAFFLES,6,1,90,1,18:30:00,5:30:00,100,4,4,0,0,3.33,B+,0,1,100,0,0,0,0,100,History,Spanish,5,7,7,4,1,3,7,1,1,1,0
929,F,9,14,No,5,"orange juice, egg",6,1.5,90,1,15:30:00,6:30:00,95,1.5,2,0,36,3,B,0,7.5,100,0,0,0,0,95,"Math,Science, english",spanish,2,7,6,7,2,1,6,1,1,1,basketball
930,M,9,14,No,5,cereal,7.5,2.5,85,0.333333333333333,16:00:00,7:00:00,90,1,4,0,0,3.05,B-/B+,0,6.5,0,20,0,80,0,70,N/A,N/A,1,4,6,6,4,7,5,4,1.5,1,0
931,F,9,14,No,4,yogurt,7,2,40,0.6,17:00:00,6:00:00,90,0,0,0,0,4,A,0,5,0,0,0,100,0,N/A,"History, English",N/A,5,7,7,7,4,6,7,5,0,0,0
932,F,9,14,kosher,3,yogurt/banana,7.5,1.5,30,0.666666666666667,17:30:00,7:00:00,96,0,6,0,0,4.18,N/A,0,6,0,0,90,10,0,85,english,science,2,5,7,7,2,6,7,2,1,2,0
933,F,9,15,vegetarian,5,"yogurt, toast, oatmeal",6,2,100,1.25,16:00:00,6:45:00,90,0,6,0,0,4,A,0,5,100,0,0,100,0,60,N/A,N/A,5,7,6,7,2,7,4,6,1,2,dance
934,F,9,14,kosher,5,yogurt,7.5,2,20,0.5,15:40:00,6:40:00,90,0,1,0,0,4,A,0,7,0,0,100,0,0,80,english,N/A,6,7,7,7,2,N/A,7,2,1,2,israeli dance
935,F,9,14,vegetarian,2,yogurt,7,1.5,15,1,16:00:00,6:30:00,95,10,10,4,5,3,B,0,7,35,15,0,50,0,80,spanish,"science, Math",2,4,4,5,1,6,2,6,1,2,dance
936,M,9,14,no,5,"eggs,bacon, waffle, orange juice",7,1.5,50,0.75,16:00:00,5:30:00,80,0,3,0,0,4,A,0,7,25,25,25,25,0,80,english,N/A,6,6,7,5,2,4,2,1,2,0,0
937,M,9,14,no,5,cereal,"""NA""",1.5,10,1.5,19:00:00,6:30:00,95,21,3,0,0,3.4,N/A,,1,100,0,0,0,0,50,N/A,N/A,7,1,1,7,1,1,1,1,0,0,"""many"""
938,M,9,13,No,2,waffles,6,3,90,1.5,17:30:00,6:00:00,100,3,4,1,0,2.33,C+,0,3,75,0,25,0,0,100,english,ESS,7,7,7,7,5,5,7,7,2,0,0
939,M,9,14,No,2,bagel,10,2,30,2,16:45:00,6:30:00,100,1,4,0,0,3.4,N/A,0,4,100,0,0,0,0,N/A,"Science,Math",N/A,4,2,6,6,1,2,4,1,1,1,sailing
940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,F,9,14,no,1,"bagel, sausage",5,3,20,1,16:00:00,6:00:00,99,2,2,0,0,3.33,B+,0,8.5,50,0,50,0,0,85,History,ESS,6,7,5,7,7,6,7,7,6,0,0
942,M,9,15,no,3,"pizza,fruit",6.9,2,50,0.5,16:10:00,6:30:00,100,0,5,3,0,2.67,B-,0,9,0,0,50,50,0,75,,Math,4,7,7,7,5,5,7,4,1,1,0
943,F,9,14,doesnt eat red meat,5,oatmeal,8,1.5,30,1,16:00:00,7:00:00,80,0.5,0,3,0,4,A,0,5,100,0,0,0,0,50,Math,SPANISH,3,4,6,5,4,7,6,1,9,9,"figure skating, syncronized skating"
944,M,9,15,no,5,a bar,7,2,20,1,16:10:00,7:10:00,100,0,0,0,0,3,B,0,7,0,0,0,0,40,70,N/A,N/A,4,6,6,7,2,1,7,N/A,0,2,0
945,M,9,14,No,3,cereal,7,1,20,1,18:00:00,6:45:00,90,0,3,0,0,4,A,0,8,50,0,0,50,0,50,english,math,3,6,6,7,1,5,7,1,1,2,0
946,M,9,14,N/A,2,"waffles, bacon",4,2,30,1,18:30:00,5:45:00,90,10,2,6,20,N/A,N/A,0,9,100,0,0,0,0,N/A,N/A,Math,3,7,6,7,5,7,6,4,1,1,0
947,F,9,14,vegetarian,2,"milk, sandwich",5,2,50,2,19:00:00,6:00:00,90,0,5,4,15,3.3,N/A,0,5,57.1428571428572,28.5714285714286,14.2857142857143,0,0,N/A,art,english,3,5,6.5,7,7,7,6,7,6,3,0
948,M,9,15,N/A,5,beagel,8,3,100,2,16:10:00,6:30:00,100,1,0,0,0,3.2,N/A,0,5,0,50,0,50,0,40,science,spanish,2,7,6,7,5,6,5,N/A,1,4,tae kwan do
949,F,9,15,No,2,"toast, bagel, chi tea,late",6,4,15,1,18:30:00,6:45:00,80,7,0,0,0,3,B,0,5,50,0,0,50,0,40,N/A,N/A,5,6,1,5,3,6,1,1,3,0,Dance
950,M,9,15,No,4,"cereal,toast",7,3,10,0.2,17:50:00,7:20:00,100,0,0,0,0,N/A,N/A,0,7,50,0,50,0,0,60,N/A,N/A,2,1,7,5,4,4,4,5,4,2,0
951,F,9,14,no,5,"sausage, breakfeast shake",6,,10,2,18:00:00,6:20:00,95,0,1,0,0,4.1,N/A,0,9,33.33,33.33,0,33.33,0,80,"English, Math",N/A,7,6,6,6,4,6,5,5,2,0,"volleyball, track and field"
952,M,9,15,No,0,,7,1,50,0,18:30:00,7:00:00,100,0.5,5,0,0,3.4,N/A,0,3,0,0,0,100,0,N/A,"Math, science",N/A,7,6,5,4,3,2,1,2,3,4,0
953,F,9,14,No,0.5,fruit,5,1.5,30,0,16:30:00,6:30:00,97,1,1,0,0,2.33,C+,0,10,50,0,0,50,0,90,english,"science, history",5,5,4,6,4,5,6,4,0,0,0
1001,M,10,15,no,5,cereal,6,4,25,1.5,16:30:00,6:30:00,65,0,4,0,0,3.33,B+,0,7,50,10,0,40,0,75,English,History,4,6,7,6,5,6,6,7,1,2,fencing
1002,F,10,15,no,5,oatmeal,8,2,80,1,20:45:00,4:15:00,95,0,0,0,0,3.66,A-,0,7,0,0,0,100,0,99,n/a,n/a,6,6,5,6,1,6,6,6,3,0,swimming
1003,M,10,16,no,5,cereal,7.5,2.5,10,0.5,16:00:00,6:30:00,95,0,1,0,30,4.2,A+,0,5,0,30,0,70,0,70,Math,French,5,5,5,4,2,2,4,1,0,3,Cyclist
1004,F,10,16,no,5,waffles,8,2,50,1,17:00:00,6:20:00,70,0,14,0,0,3.3,B+,0,5,100,0,0,0,0,90,English,Spanish,6,6,7,6,4,6,6,5,1,0,water polo
1005,M,10,15,no,2,banana,5,4,30,2,17:00:00,5:30:00,100,3,1,1,0,3.7,A-,0,10,50,0,50,0,0,80,History,Chemistry,5,7,6,7,1,6,7,6,1,1,
1006,F,10,16,vegeterian,3,,7,4,0,5,18:30:00,6:30:00,90,0,4,0,0,3.66,A-,0,7,0,0,0,100,0,75,English,Math,3,7,6,7,5,6,7,6,2,0,
1007,F,10,15,no,5,cereal,7,3,100,1.5,18:00:00,6:00:00,100,0,4,0,0,4.2,A+,0,9,0,0,0,100,0,95,English,History,7,4,5,4,2,3,7,2,1,1,Ballet
1008,F,10,16,no,5,fruit,7,2,50,0.25,15:30:00,7:00:00,100,0,2,0,0,,,0,6,0,0,0,100,0,50,English,Math,3,5,7,5,6,n/a,6,5,3,6,running
1009,M,10,15,no,5,waffles,7,1,75,1,16:15:00,6:45:00,100,6,2,0,0,3.8,A-,1,3,25,25,25,25,0,n/a,n/a,English,3,6,7,6,3,5,6,4,2,0,
1010,F,10,16,no,5,bagel,7,2,10,1,18:30:00,7:10:00,85,1,1,3,0,4,A,0,1,0,0,100,0,0,50,n/a,n/a,1,1,2,6,1,1,3,2,1,1,softball
1011,M,10,16,no,3.5,bacon,6,2.5,5,1,16:15:00,6:50:00,90,1.5,2,0,0,3,B,0,6.5,50,50,0,0,0,50,History,Chemtry,6,2,6,6,5,5,5,6,1,1,
1012,F,10,15,vegeterian,2,oatmeal,7.5,3,95,1,17:00:00,6:00:00,100,4,2,1,0,3.3,B+,0,0.5,99,0,0,1,0,87,math,History,5,7,7,7,1,7,6,6,2,0,
1013,F,10,16,no,5,cereal,8,2.5,50,1,17:00:00,7:10:00,90,0,0,0,0,4,A,0,6,0,20,80,0,0,85,n/a,n/a,4,6,6,5.5,4,5,6,4,2,0,
1014,M,10,16,no,5,,,1,100,0.25,18:00:00,6:00:00,1,0,2,0,0,3,B,0,0,0,0,0,100,0,50,n/a,n/a,2,5,5,7,1,1,5,1,0,0,
1015,M,10,15,no,5,cereal,6,1,99,0,18:30:00,6:30:00,100,0,12,1,600,3.95,A,0,2,0,,,100,0,90,n/a,History,7,2,5,6,1,2,4,7,2,0,
1016,M,10,16,no,5,eggs,6.5,2,50,1,21:00:00,6:20:00,80,0,0,2,0,4.1,A,0,7,0,0,0,100,0,90,English,n/a,4,7,7,6,1,4,7,,1,4,
1017,F,10,16,no,0,,6,4,10,0,15:30:00,6:00:00,90,2,8,0,0,3.8,A-,0,8,0,0,100,0,0,85,History,Latin,4,7,5,7,2,7,7,1,1,1,
1018,F,10,15,no,5,toast,6,3,25,2.5,18:00:00,5:40:00,50,0,2,0,0,3.5,B+,0,7,90,0,0,10,0,60,,Science,4,6.5,7,7,4.5,7,7,6,2,0,
1019,,,,,,,,,,,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disregard this answer because answers are so obviously fake
1020,F,10,16,no,4,toast,7,2,35,0.5,16:00:00,7:00:00,90,2,0,"""many""",0,3.66,A-,0,6,100,0,0,0,0,90,English,Spanish,4,7,7,5,2,7,7,6,1,2,
1021,M,10,16,no,5,cereal,5,2.5,50,1,18:00:00,6:00:00,100,0,"""many""",1,0,3.4,B+,0,6.5,100,0,0,0,0,75,Math,Spanish,6,3.5,6,5,1,1,6,2,2,0,
1022,F,10,15,no,5,toast,8,3,60,0.15,15:50:00,6:55:00,90,0,0,1,30,3.66,A-,0,5,0,0,100,0,0,,Languages,,4,7,7,6,2,5,5,4,1,0,
1023,M,10,16,vegeterian,5,bagel,8,1,70,0.5,19:20:00,7:00:00,100,0,0,3,0,3,B,0,0,0,0,0,100,0,,,,3,5,5,5,1,6,7,1,3,0,
1024,F,10,16,no,5,fruit,7,3,10,1,17:30:00,6:00:00,100,1,0,0,0,3.66,A-,0,8,1,50,0,49,0,70,,,6,4,7,6,1,6,6,5,2,0,
1025,F,10,15,no,5,creal,7,3,15,0.25,17:40:00,6:50:00,100,0,4,0,0,4,A,0,5,0,0,99,1,0,50,math,English,5,7,6,6.5,1,7,6,5,2,0,soccer
1026,F,10,15,no,5,cereal,7.5,1.5,10,1.5,18:30:00,6:00:00,95,0,2,0,0,4,A,0,7,50,50,0,0,0,70,,French,3,7,6,6,3,5,4,4,3,0,
1027,M,10,16,vegeterian,5,toast,7.5,2,70,0.666666666666667,17:30:00,6:00:00,90,0,2,0,0,3.81,A-,0,6,90,0,0,9,1,,math,latin,6,7,6,7,5,5,7,5,1,1,
1028,F,10,15,vegeterian,3,bagel,6,2,20,1.5,18:30:00,5:00:00,100,2,0,0,0,3.2,B+,0,6,50,0,0,50,0,10,History,Math,2,6,6,6,1,7,3,3,3,0,
1029,M,10,15,no,5,cereal,4,2,25,2,17:00:00,6:30:00,100,2,5,0,0,2.66,B-,0,5,100,0,0,0,0,80,Science,French,2,7,7,7,1,7,7,1,2,0,
1030,F,10,16,no,5,yogurt,6.5,3,35,2,19:00:00,6:10:00,85,0,0,1,0,3.3,B+,0,6,0,0,0,100,0,80,Math,Science,6,6,5,6.5,2,7,4,5,2,1,Basketball
1031,F,10,15,no,3,toast,6,2,35,1,17:00:00,5:30:00,75,0.5,0,0,0,3.66,A-,0,5,100,0,0,0,0,93,English,Science,5,1,1,1,3,1,1,2,2,0,
1032,F,10,17,no,5,Rasien Brane,8,2,10,0,15:25:00,7:19:00,9,1,2,1,7,3,B,2,7,0,0,0,100,0,9,science,,7,7,7,7,7,7,7,7,1,0,
1033,F,10,15,no beef,0,,7.5,4,85,1,17:00:00,6:10:00,95,1,7,0,0,3.66,A-,0,8,95,0,0,5,0,90,History,English,3,6,6,6,5,7,6,6,2,0,
1034,F,10,15,vegeterian,5,cereal,6.5,2,60,1,18:00:00,6:35:00,100,0,0,0,0,4,A,0,3,0,0,0,100,0,70,Math,Spanish,6,6,7,6,6,7,5,5,3,0,
1035,M,10,15,no,5,cereal,7,3,99,1,18:30:00,6:00:00,100,1,1,0,0,4,A,0,7,66,0,17,17,0,75,English,Math,6,6,5,7,6,6,6,6,1,2,
1036,M,10,15,no,5,toast,6.5,2,40,1.5,16:30:00,6:30:00,90,0,1,1,0,3.8,A-,0,1,50,0,0,50,0,80,Ceramics,Spanish,5,2,2,4,1,6,4,2,1,4,Swim
1037,F,10,15,no,3,toast,8,2,40,1,16:30:00,6:30:00,70,0,7,1,14,3.33,B+,0,6,80,0,0,20,0,,History,Chemistry,5,6,6,6,6,6,6,5,1,0,Soccer
1038,M,10,15,no,5,Eggs,7,2,95,1.5,18:30:00,6:45:00,90,0,6,0,0,3.33,B+,0,7,50,0,0,50,0,85,Chemistry,History,4,6,6,5,1,4,5,6,0,0,
1039,F,10,15,no,5,yogurt,7,2.5,3,1,17:30:00,6:30:00,98,0,0.5,33,0,3,B,0,6,0,0,0,100,0,80,Spanish,math,5,7,7,7,1,3,7,1,1,0,
1040,M,10,15,Vegeterian,5,toast,9,3,20,0.2,15:50:00,6:00:00,100,0,6,0,30,3.66,A-,0,2,25,25,0,50,0,95,History,Latin,6,7,7,7,6,6,7,7,1,1,
1041,M,10,16,no,5,cereal,10,2,40,0.5,15:50:00,7:20:00,90,1,0,1,0,3,B,0,7,0,0,50,50,0,100,History,Chemistry,1,7,7,7,1,1,5,3,1,0,
1042,,,,,,,,,,,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horribly written and no response makes any sense. Discard.
1043,F,10,16,vegeterian,5,eggs,,4,15,1,15:50:00,7:15:00,75,2,14,over 50,0,3.66,A-,0,7,0,0,50,50,0,,Spanish,Chemistry,5,6,4,6,5,7,6,7,0,3,Sailing
1044,F,10,16,no,5,cereal,7,2,5,0.75,16:30:00,7:00:00,90,0,0,0,0,3.66,A-,0,4,0,50,0,50,0,90,Science,French,2,7,6,7,2,6,6,7,1,2,
1045,F,10,16,no,3,bagel,7.5,2,40,1,16:45:00,7:00:00,90,0,10,10,0,2.66,B-,0,7,17,16,16,50,0,70,English,History,5,7,6,7,2,6,7,1,1,1,Dance
1046,F,10,15,no,4,cereal,6,2,5,1,18:30:00,3:30:00,99,0,0,0,0,2,C,0,8,0,50,0,50,0,,,,3,5,6,7,6,7,7,7,,,
1047,M,10,16,no,3,bagel,7.5,1.5,10,2,16:00:00,6:30:00,90,0,4,0,0,3,B,0,7,0,0,0,100,0,85,English,Chemistry,5,7,7,6,3,6,5,2,1,2,
1048,F,10,16,no,5,cereal,8,3,40,2,16:30:00,6:20:00,95,0,2,0,0,3.33,B+,0,8,0,100,0,0,0,70,English,Math,5,7,5,6,3,,7,5,2,0,
1049,F,10,15,no,5,cereal,8.5,2,20,25,16:30:00,7:00:00,90,0,0,0,0,3.66,A-,0,5,0,0,0,100,0,80,History,Math,4,7,6,6,2,4,4,4,3,0,
1050,F,10,15,no,5,yogurt,9,1,45,30,17:00:00,7:00:00,70,1,21,0,0,3.6,A-,0,3,1,1,0,98,0,70,Chemistry,Latin,3,7,4,5,3,3,7,1,2,0,yoga
1051,F,10,15,no,5,sandwich,8,3.5,5,1.25,16:00:00,6:00:00,75,0,12,0,0,3.66,A-,0,7,0,0,0,100,0,100,,,3,7,6,7,4,6,4,4,1,0,
1052,F,10,15,no,5,cereal,2,2,50,0.25,17:45:00,6:45:00,92,0,0,0,0,3.66,A-,0,7,0,0,0,100,0,,History,Math,5,,,,,5,7,2,3,0,horseback riding
1053,F,10,16,no,5,eggs,7,2,10,1,16:15:00,6:30:00,75,0,2,0,0,3.66,A-,1,6,100,0,0,0,0,90,Math,,5,7,7,7,1,5,6,,2,0,tennis
1054,F,10,15,vegeterian,2.5,bagel,8.5,3,15,0.75,18:30:00,5:45:00,85,1,1,1,0,3.66,A-,0,6,0,50,0,50,0,95,Language,Science,4,3.5,7,7,3,6,7,1,1,1,
1055,F,10,16,vegan,5,cereal,7,3,70,4,18:30:00,5:00:00,95,0,5,0,0,3.5,A-,0,6,50,50,0,0,0,50,Math,English,0,2,2,3,5,4,6,1,1,2,
1056,M,10,15,no,5,bacon,5,1,60,2,18:30:00,5:45:00,50,5,2,7,0,3,B,0,3,100,0,0,0,0,50,Math,Chemistry,2,5,3,7,1,2,1,1,0,2,
1057,,,,,,,,,,,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discard this answer due to invalid answers
1058,F,10,15,no,3,oatmeal,7,3,50,3,18:00:00,5:30:00,90,3,5,1,0,3.6,A-,0,7,50,0,0,50,0,80,Chemistry,Math,1,6,6,4,6,7,6,1,2,0,
1059,M,10,16,no,5,cereal,6,0.5,60,3,19:30:00,6:30:00,100,0,0,0,0,4.15,A+,3,6,100,0,0,0,0,60,math,History,7,5,6,6,3,4,5,3,2,0,
1101,M,11,17,No,5,"Cereal, Juice, Leftovers",6,2,50,2,18:00:00,6:00:00,100,1,7,0,12,3.33,B+,0,6,0.909090909090909,0,0.090909090909091,0,0,N/A,Math,English,3,7,6,7,2,7,3,7,11,12,0
1102,M,11,16,No,5,"Cereal, Fruit",7,2,50,1,18:00:00,6:00:00,50,1,2,0,0,3.4,N/A,0,7,50,0,0,0,50,N/A,Math,English,5,6,6,4,1,5,2,5,3,0,0
1103,M,11,16,No,0,N/A,6.5,3,90,0.5,16:00:00,7:00:00,90,5,1,3,0,3.4,N/A,0,7,100,0,0,0,0,80,Science,English,2,2,5,5,4,3,5,2,2,0,0
1104,M,11,16,No,5,"Cereal, Waffle",10,2,0,1,16:15:00,6:40:00,95,1,0,0,0,3,B,0,6,25,25,25,25,0,90,N/A,N/A,5,6,6,6,3,6,5,2,0,2,0
1105,F,11,16,No,5,"Banana,cereal,peanut butter",9,2,0-,2,16:15:00,6:30:00,90,0,0,0,0,3.2,N/A,1,8,100,0,0,0,0,75,N/A,Spanish,5,5,5,5,7,7,6,1,2,0,0
1106,M,11,16,No,5,"Cereal, bagel, toast, corssiant",7.5,3,10,0.5,16:30:00,6:30:00,90,1,0,0,0,4,A,1,6.5,0,0,0,100,0,75,N/A,N/A,6,6,7,6,4,4,5,4,2,0,Year long soccer team
1107,M,11,17,No,5,"Bread, fruit, leftovers",7,4,35,0,16:30:00,7:10:00,90,2,0,5,10,3,B,1,8,0,1,90,9,0,95,"History, English",Math,5,5,7,4,2,7,5,1,2,2,0
1108,M,11,16,No,0,N/A,8,2,90,1,19:00:00,6:30:00,50,0,4,0,0,3.4,N/A,0,5,50,25,25,0,0,40,History,Math,4,4,6,7,1,1,6,1,0,0,0
1109,F,11,17,No,5,"Milk, Juice, bagel, taost, Fruit",6,4,45,2,19:00:00,6:30:00,100,1,2,0,4,3.33,B+,1,8,95,0,5,0,0,80,Math,Science,2,5,5,4,7,7,7,5,1,0,0
1110,F,11,16,No,5,"Cereal, Milk",6,4,10,1,16:00:00,6:35:00,80,0,2,0,0,3.31,N/A,0,8.5,20,0,0,80,0,70,English,Math,4,7,6,7,5,6,6,5,3,0,Swim Team
1111,F,11,16,No,5,Waffles,6,5.5,33,0.5,18:45:00,5:45:00,90,0,0,0,0,4,A,3,8,0,0,0,100,0,70,MATH,0,7,6,7,4,2,3,6,1,2,0,0
1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,M,11,17,Vegetarian,5,"Fruit,smoothie, cereal",7,3,70,1.5,18:00:00,6:45:00,100,1,2,0,0,N/A,N/A,2,6,50,0,0,50,0,50,"Math,Science, Spanish",N/A,3,7,7,5,6,4,6,N/A,1,1,0
1114,M,11,16,No,1,Granola bar,7,1,25,1,16:00:00,7:00:00,100,3,5,0,0,3,B,0,4,50,0,50,0,0,80,Physics,English,2,5,5,5,1,6,4,4,2,0,0
1115,M,11,16,No,5,eggs,4,1,51,1.5,16:00:00,6:30:00,100,1,7,4,0,2.9,N/A,0,3,0,50,50,0,0,N/A,N/A,N/A,3,3,2,4,1,5,5,2,1,0,0
1116,F,11,16,No,4,"Cereal bar, fruit",8,2,70,1.5,17:00:00,6:30:00,95,1,1,0,0,3.33,B+,0,7,100,0,0,0,0,90.1,Geometry,US History,5,7,5,5,5,5,3,3,1,0,0
1117,M,11,16,No,3,"pastries, bannan",7,2,50,1,16:00:00,7:10:00,99,0,"""a lot""","""many""",0,"""secret""","""secret""",1,3,50,0,0,50,0,N/A,"Math,Physics",History,2,7,7,7,0,4,7,7,0,0,0
1118,F,11,16,No,5,"toast,cereal",8,3,70,1,17:00:00,7:00:00,100,0,0,0,70,3.5,N/A,1,8,32.1428571428571,32.1428571428571,0,35.7142857142857,0,N/A,History,Math,6,7,5,7,5,N/A,7,7,3,0,0
1119,F,11,16,No,1,"toast, nature valley bar",6,4,79,0.416666666666667,18:30:00,7:00:00,50,0,2,3,0,3.6,N/A,1,8,5,5,0,90,0,75,N/A,N/A,6,6,7,4.5,5.5,5.5,4,4,2,0,0
